Company_Code,Company_Name,Stock_Ticker,Month,Current_Price,Month_High,Month_Low,Monthly_Return_Pct,Volatility_Pct,Stock_Performance_Score,ESG_Stock_Correlation,ESG_Influence_Score
TCS,Tata Consultancy Services,TCS.NS,2024-11,4270.85009765625,4352.7001953125,4019.5,1.7183866193709036,8.42453708547012,7.0,0.65,5.5135480546974485
TCS,Tata Consultancy Services,TCS.NS,2024-12,4094.800048828125,4473.89990234375,4094.800048828125,-4.252156656918891,5.311540703337019,6.0,0.65,4.137840363760399
TCS,Tata Consultancy Services,TCS.NS,2025-01,4112.39990234375,4291.10009765625,4028.300048828125,-0.0012229441418482223,8.502048274655474,6.0,0.65,3.971339960484845
TCS,Tata Consultancy Services,TCS.NS,2025-02,3483.25,4107.0498046875,3483.25,-14.482646514048328,5.377804691206519,2.0,0.65,0.35366535501773255
TCS,Tata Consultancy Services,TCS.NS,2025-03,3606.14990234375,3657.75,3493.050048828125,3.237853793522615,4.465012820772716,8.0,0.65,5.566541054243592
TCS,Tata Consultancy Services,TCS.NS,2025-04,3453.699951171875,3550.800048828125,3231.5,-2.734597733496598,7.17812179461053,6.0,0.65,4.42826308746702
TCS,Tata Consultancy Services,TCS.NS,2025-05,3463.39990234375,3620.39990234375,3431.0,0.9443282525138443,7.17535071337807,7.0,0.65,5.251408018072602
TCS,Tata Consultancy Services,TCS.NS,2025-06,3462.0,3515.300048828125,3371.10009765625,0.35364226909380575,4.386176222550962,7.0,0.65,4.469840650259703
TCS,Tata Consultancy Services,TCS.NS,2025-07,3036.800048828125,3429.699951171875,3036.800048828125,-11.455809777455963,4.11421255775981,2.0,0.65,1.1948357230803377
TCS,Tata Consultancy Services,TCS.NS,2025-08,3084.699951171875,3157.199951171875,3003.0,2.720611094634532,6.042040265956788,8.0,0.65,4.345147963812918
TCS,Tata Consultancy Services,TCS.NS,2025-09,2888.39990234375,3176.699951171875,2888.39990234375,-7.202987479224203,5.536787420070978,4.0,0.65,2.893722194127848
TCS,Tata Consultancy Services,TCS.NS,2025-10,3058.0,3084.89990234375,2901.89990234375,4.934460614835276,5.517403523453841,8.0,0.65,5.088205453334803
TCS,Tata Consultancy Services,TCS.NS,2025-11,3047.0,3047.0,2990.199951171875,1.0010590918548334,3.696632467979213,7.0,0.65,5.107239806895207
INFY,Infosys,INFY.NS,2024-11,1857.8499755859373,1924.5,1811.449951171875,-0.12096124023071625,8.649815349960473,6.0,0.65,4.013545617253835
INFY,Infosys,INFY.NS,2024-12,1880.0,1999.699951171875,1879.800048828125,0.01063683193325005,4.618982460902269,7.0,0.65,5.160306866537735
INFY,Infosys,INFY.NS,2025-01,1879.800048828125,1966.949951171875,1800.699951171875,-0.14342370102921645,9.530964102295307,6.0,0.65,3.978446108072403
INFY,Infosys,INFY.NS,2025-02,1687.699951171875,1915.6500244140625,1687.699951171875,-8.839496938566052,6.683522205314659,4.0,0.65,2.965460864085074
INFY,Infosys,INFY.NS,2025-03,1570.6500244140625,1715.8499755859375,1570.6500244140625,-8.073858898690855,7.5317884717418275,4.0,0.65,2.991131355031934
INFY,Infosys,INFY.NS,2025-04,1500.0999755859375,1550.1500244140625,1396.75,-1.729448045467573,9.439321835951837,6.0,0.65,2.9959962842186045
INFY,Infosys,INFY.NS,2025-05,1562.699951171875,1626.9000244140625,1506.9000244140625,3.7029614343200734,10.086374284184982,8.0,0.65,5.064253634947412
INFY,Infosys,INFY.NS,2025-06,1601.800048828125,1639.9000244140625,1543.0,3.0892005722487634,5.2104651490761835,8.0,0.65,4.590498382290181
INFY,Infosys,INFY.NS,2025-07,1509.0,1640.699951171875,1509.0,-6.086634668666631,4.602231263152197,4.0,0.65,2.3765412640212173
INFY,Infosys,INFY.NS,2025-08,1469.5999755859375,1532.0999755859375,1423.0999755859375,0.0,7.1676728782240895,7.0,0.65,4.557966819162633
INFY,Infosys,INFY.NS,2025-09,1441.800048828125,1540.5999755859375,1432.9000244140625,-3.8415349238403866,7.462839489067792,6.0,0.65,4.425596586344433
