Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
INFY,Infosys,Environmental,Total Energy Consumption,77.7,GWh,Reported,Environmental metric: 77.7,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Environmental,Water Recycled Percentage,100.0,%,Reported,Environmental metric: 100.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Environmental,Waste Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Social,Total Employees,320000.0,Count,Reported,Social metric: 320000.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Social,Female Employee Percentage,39.0,%,Reported,Social metric: 39.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Social,Employee Turnover Rate,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Social,Training Hours per Employee,2066.0,Hours,Reported,Social metric: 2066.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Social,Health and Safety Incidents,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Governance,Board Size,19.0,Count,Reported,Governance metric: 19.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Governance,Independent Directors Percentage,0.98,%,Reported,Governance metric: 0.98,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
INFY,Infosys,Governance,Audit Committee Size,3.0,Count,Reported,Governance metric: 3.0,False,None,6.0,1,2.0,2026-09-03
INFY,Infosys,Governance,Ethics Policy Violations,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Environmental,Total Energy Consumption,1.0,GWh,Reported,Environmental metric: 1.0,False,None,6.0,1,2.0,2026-09-03
WIPRO,Wipro,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Environmental,Total Water Consumption,2030.0,KL,Reported,Environmental metric: 2030.0,False,None,6.0,1,2.0,2026-09-03
WIPRO,Wipro,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
