Company_Code,Company_Name,Environmental_Score,Social_Score,Governance_Score,Master_ESG_Score,Master_ESG_Score_Base,Risk_Level,Consistency_Score,Contradiction_Count,Highest_Contradiction_Severity,Contradiction_Summary,Quality_Score,Quality_Gate_Status,BRSR_Completeness_Pct,Review_Flag_Count,Missing_Extraction_Failed_Count,Missing_Not_Disclosed_Count,Missing_Not_Available_Sources,Environmental_Weight,Social_Weight,Governance_Weight,Analysis_Date,renewable_energy_pct,renewable_score,location_environmental_score,transparency_trust_score,final_environmental_score,component_count,news_sentiment_score,positive_articles,negative_articles,total_articles,final_social_score,stock_performance_score,disclosure_transparency_score,avg_trust_score,final_governance_score,water_recycled_pct,water_score,female_employee_pct,diversity_score,independent_directors_pct,independence_score,training_hours,training_score,External_Benchmark_Score,Project_Rank,Benchmark_Rank,Rank_Deviation,Rank_Alignment_Status,Rank_Spearman_Correlation
TATAELXSI,Tata Elxsi,4.371666666666666,10.0,4.333333333333334,6.1429875,6.215983333333334,Medium,8.0,1,Medium,CV-001,2.81,Low-Quality Warning,44.44,11,10,10,1,0.33,0.33,0.34,2026-09-03,51.15,5.114999999999999,2.0,6.0,4.371666666666666,1,10.0,8,0,8,10.0,,4.444444444444445,4.222222222222222,4.333333333333334,,,,,,,,,4.333,13,25,12,Deviation-Review,0.31
OFSS,Oracle Financial Services Software,4.0,8.0,4.736111111111111,6.114708333333334,5.570277777777777,Medium,10.0,0,None,No contradictions detected,4.37,Low-Quality Warning,61.11,9,7,7,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,4,0,4,8.0,,6.111111111111112,4.833333333333333,4.736111111111111,,,26.42,6.0,30.0,4.0,,,4.833,14,11,3,Deviation-Review,0.31
KPITTECH,KPIT Technologies,,10.0,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.87,Low-Quality Warning,33.33,12,12,12,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,4,0,4,10.0,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,4.0,25,38,13,Deviation-Review,0.31
CYIENT,Cyient,,10.0,2.166666666666667,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,11.11,17,16,16,1,0.33,0.33,0.34,2026-09-03,60.0,6.0,,3.0,,1,10.0,15,0,15,10.0,,1.1111111111111112,3.2222222222222223,2.166666666666667,,,,,,,,,3.333,26,43,17,Deviation-Review,0.31
BSOFT,Birlasoft,,10.0,5.833333333333333,,,High,10.0,0,None,No contradictions detected,5.26,Pass,66.67,7,6,6,1,0.33,0.33,0.34,2026-09-03,40.0,4.0,,6.0,,1,10.0,14,0,14,10.0,,6.666666666666666,5.0,5.833333333333333,,,,,,,,,5.0,27,10,17,Deviation-Review,0.31
ZENSARTECH,Zensar Technologies,,8.666666666666666,5.472222222222222,,,High,10.0,0,None,No contradictions detected,4.92,Low-Quality Warning,61.11,7,7,7,1,0.33,0.33,0.34,2026-09-03,90.0,9.0,,6.0,,1,10.0,5,0,5,8.666666666666666,,6.111111111111112,4.833333333333333,5.472222222222222,,,35.0,8.0,,,30.0,8.0,4.833,28,12,16,Deviation-Review,0.31
TATATECH,Tata Technologies,,9.166666666666666,4.388888888888889,,,High,10.0,0,None,No contradictions detected,3.09,Low-Quality Warning,44.44,10,10,10,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,9.166666666666666,11,1,12,9.166666666666666,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.083,29,35,6,Deviation-Review,0.31
HAPPSTMNDS,Happiest Minds Technologies,3.071,10.0,4.75,6.316322500000001,5.9284300000000005,Medium,10.0,0,None,No contradictions detected,3.7,Low-Quality Warning,50.0,9,9,9,1,0.33,0.33,0.34,2026-09-03,12.13,1.213,2.0,6.0,3.071,1,10.0,4,0,4,10.0,,5.0,4.5,4.75,,,,,,,,,4.5,11,22,11,Deviation-Review,0.31
SONATSOFTW,Sonata Software,4.0,10.0,7.916666666666666,7.481750000000001,7.311666666666667,Low-Medium,10.0,0,None,No contradictions detected,4.98,Low-Quality Warning,66.67,8,6,6,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,7,0,7,10.0,,6.666666666666666,5.0,7.916666666666666,,,,,100.0,10.0,,,5.0,1,9,8,Deviation-Review,0.31
HEXAWARE,Hexaware Technologies,,10.0,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.59,Low-Quality Warning,33.33,13,12,12,1,0.33,0.33,0.34,2026-09-03,83.0,8.299999999999999,,6.0,,1,10.0,8,0,8,10.0,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,4.0,30,39,9,Deviation-Review,0.31
MINDTREE,Mindtree (legacy symbol),,6.0,4.013888888888889,,,High,10.0,0,None,No contradictions detected,2.48,Low-Quality Warning,38.89,11,11,11,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,2,10.0,7,0,7,6.0,,3.888888888888889,4.166666666666667,4.013888888888889,,,14.4,4.0,7.0,4.0,4.0,4.0,4.167,31,33,2,Deviation-Review,0.31
NEWGEN,Newgen Software Technologies,,8.0,4.75,,,High,10.0,0,None,No contradictions detected,3.7,Low-Quality Warning,50.0,9,9,9,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,10.0,3,0,3,8.0,,5.0,4.5,4.75,,,25.5,6.0,,,,,4.5,32,20,12,Deviation-Review,0.31
TANLA,Tanla Platforms,,10.0,4.027777777777778,,,High,10.0,0,None,No contradictions detected,2.2,Low-Quality Warning,38.89,12,11,11,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,10.0,9,0,9,10.0,,3.888888888888889,4.166666666666667,4.027777777777778,,,,,,,,,4.167,33,28,5,Deviation-Review,0.31
INTELLECT,Intellect Design Arena,2.5,10.0,1.5,4.97625,4.635,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,2.0,3.0,2.5,1,10.0,4,0,4,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,20,47,27,Deviation-Review,0.31
ROUTE,Route Mobile,4.0,9.285714285714286,4.388888888888889,6.188380952380952,5.876507936507937,Medium,10.0,0,None,No contradictions detected,2.81,Low-Quality Warning,44.44,11,10,10,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,1,9.285714285714286,26,2,28,9.285714285714286,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.119,12,34,22,Deviation-Review,0.31
RATEGAIN,RateGain Travel Technologies,,10.0,2.2222222222222223,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,11.11,16,16,16,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,2,0,2,10.0,,1.1111111111111112,3.3333333333333335,2.2222222222222223,,,,,,,,,3.333,34,44,10,Deviation-Review,0.31
ECLERX,eClerx Services,4.8,10.0,5.416666666666667,6.70825,6.725666666666667,Medium,8.0,1,Medium,CV-001,4.64,Low-Quality Warning,61.11,8,7,7,1,0.33,0.33,0.34,2026-09-03,64.0,6.4,2.0,6.0,4.8,1,10.0,3,0,3,10.0,,6.111111111111112,4.722222222222222,5.416666666666667,,,,,,,,,4.833,7,13,6,Deviation-Review,0.31
DATAMATICS,Datamatics Global Services,2.5,10.0,1.5,4.97625,4.635,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,2.0,3.0,2.5,1,10.0,2,0,2,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,22,49,27,Deviation-Review,0.31
MASTEK,Mastek,2.5,10.0,1.5,4.97625,4.635,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,2.0,3.0,2.5,1,10.0,5,0,5,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,21,46,25,Deviation-Review,0.31
SONACOMS,Sona BLW Precision Forgings,,10.0,5.111111111111111,,,High,10.0,0,None,No contradictions detected,3.76,Low-Quality Warning,55.56,10,8,8,1,0.33,0.33,0.34,2026-09-03,3.95,0.395,,6.0,,1,10.0,7,0,7,10.0,,5.555555555555555,4.666666666666667,5.111111111111111,,,,,,,,,4.667,35,16,19,Deviation-Review,0.31
HGS,Hinduja Global Solutions,,10.0,3.3055555555555554,,,High,10.0,0,None,No contradictions detected,1.26,Low-Quality Warning,27.78,13,13,13,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,10.0,1,0,1,10.0,,2.7777777777777777,3.8333333333333335,3.3055555555555554,,,,,,,,,3.833,36,40,4,Deviation-Review,0.31
NIITLTD,NIIT,,10.0,1.5,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,3,0,3,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,37,48,11,Deviation-Review,0.31
E2E,E2E Networks,,10.0,1.5,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,2,0,2,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,38,45,7,Deviation-Review,0.31
AFFLE,Affle India,4.0,10.0,7.375,6.859625,7.1275,Medium,8.0,1,Medium,CV-002,3.14,Low-Quality Warning,50.0,11,9,9,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,1,0,1,10.0,,5.0,4.5,7.375,,,,,55.6,10.0,,,4.5,4,21,17,Deviation-Review,0.31
MPSLTD,MPS,,9.692307692307692,4.388888888888889,,,High,10.0,0,None,No contradictions detected,2.81,Low-Quality Warning,44.44,11,10,10,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,9.692307692307692,63,2,65,9.692307692307692,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.241,39,27,12,Deviation-Review,0.31
SUBEXLTD,Subex,,10.0,4.388888888888889,,,High,10.0,0,None,No contradictions detected,3.09,Low-Quality Warning,44.44,10,10,10,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,10.0,1,0,1,10.0,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.333,40,24,16,Deviation-Review,0.31
SIS,Security and Intelligence Services,,9.661016949152541,4.75,,,High,10.0,0,None,No contradictions detected,3.42,Low-Quality Warning,50.0,10,9,9,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,9.661016949152541,171,6,177,9.661016949152541,,5.0,4.5,4.75,,,,,,,,,4.398,41,23,18,Deviation-Review,0.31
ZOMATO,Eternal (formerly Zomato),,10.0,4.027777777777778,,,High,10.0,0,None,No contradictions detected,2.48,Low-Quality Warning,38.89,11,11,11,1,0.33,0.33,0.34,2026-09-03,100.0,10.0,,6.0,,1,10.0,16,0,16,10.0,,3.888888888888889,4.166666666666667,4.027777777777778,,,,,,,,,4.167,42,31,11,Deviation-Review,0.31
PAYTM,One 97 Communications,,10.0,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.87,Low-Quality Warning,33.33,12,12,12,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,20,0,20,10.0,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,4.0,43,36,7,Deviation-Review,0.31
POLICYBZR,PB Fintech,,8.88888888888889,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.87,Low-Quality Warning,33.33,12,12,12,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,8.88888888888889,8,1,9,8.88888888888889,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,3.667,44,41,3,Deviation-Review,0.31
DELHIVERY,Delhivery,,10.0,5.416666666666667,,,High,10.0,0,None,No contradictions detected,4.37,Low-Quality Warning,61.11,9,7,7,1,0.33,0.33,0.34,2026-09-03,62.0,6.2,,6.0,,1,10.0,7,0,7,10.0,,6.111111111111112,4.722222222222222,5.416666666666667,,,,,,,,,4.833,45,14,31,Deviation-Review,0.31
NAZARA,Nazara Technologies,4.0,10.0,7.555555555555555,6.994666666666667,7.188888888888889,Medium,8.0,1,Medium,CV-002,4.03,Low-Quality Warning,55.56,9,8,8,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,10,0,10,10.0,,5.555555555555555,4.666666666666667,7.555555555555555,,,,,100.0,10.0,,,4.667,2,18,16,Deviation-Review,0.31
TATACOMM,Tata Communications,2.5,10.0,4.388888888888889,6.021916666666667,5.617222222222223,Medium,10.0,0,None,No contradictions detected,3.09,Low-Quality Warning,44.44,10,10,10,1,0.33,0.33,0.34,2026-09-03,,,2.0,3.0,2.5,1,10.0,6,0,6,10.0,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.333,15,26,11,Deviation-Review,0.31
INDUSTOWER,Indus Towers,,10.0,3.986111111111111,,,High,10.0,0,None,No contradictions detected,2.2,Low-Quality Warning,38.89,12,11,11,1,0.33,0.33,0.34,2026-09-03,64.5,6.45,,3.0,,2,10.0,6,0,6,10.0,,3.888888888888889,4.055555555555555,3.986111111111111,,,,,1.0,4.0,,,4.167,46,30,16,Deviation-Review,0.31
BHARTIARTL,Bharti Airtel,,10.0,6.555555555555555,,,High,10.0,0,None,No contradictions detected,5.11,Pass,55.56,8,8,8,0,0.33,0.33,0.34,2026-09-03,,,,6.0,,2,10.0,33,0,33,10.0,8.0,5.555555555555555,4.666666666666667,6.555555555555555,,,,,,,,,7.559,47,1,46,Deviation-Review,0.31
TEJASNET,Tejas Networks,,10.0,5.111111111111111,,,High,10.0,0,None,No contradictions detected,3.76,Low-Quality Warning,55.56,10,8,8,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,10.0,7,0,7,10.0,,5.555555555555555,4.666666666666667,5.111111111111111,,,,,,,,,4.667,48,17,31,Deviation-Review,0.31
REDINGTON,Redington,5.666666666666667,7.0,6.083333333333334,6.323249999999999,6.248333333333333,Medium,7.0,1,High,CV-001,5.87,Pass,72.22,6,5,5,1,0.33,0.33,0.34,2026-09-03,90.0,9.0,2.0,6.0,5.666666666666667,1,10.0,2,0,2,7.0,,7.222222222222222,4.944444444444445,6.083333333333334,,,,,,,8.0,4.0,5.167,10,8,2,Deviation-Review,0.31
HCL-INFO,HCL Infosystems,,10.0,1.5,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,0.0,18,18,18,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,1,0,1,10.0,,0.0,3.0,1.5,,,,,,,,,3.0,49,50,1,Aligned,0.31
MAZDOCK,Mazagon Dock Shipbuilders,3.3333333333333335,10.0,3.9722222222222223,5.732916666666666,5.750555555555556,Medium-High,8.0,1,Medium,CV-001,2.2,Low-Quality Warning,38.89,12,11,11,1,0.33,0.33,0.34,2026-09-03,50.0,5.0,2.0,3.0,3.3333333333333335,1,10.0,9,0,9,10.0,,3.888888888888889,4.055555555555555,3.9722222222222223,,,,,,,,,4.167,17,29,12,Deviation-Review,0.31
TITAN,Titan Company,,10.0,5.666666666666667,,,High,10.0,0,None,No contradictions detected,3.89,Low-Quality Warning,44.44,10,10,10,0,0.33,0.33,0.34,2026-09-03,50.0,5.0,,3.0,,2,10.0,10,0,10,10.0,7.0,4.444444444444445,4.222222222222222,5.666666666666667,,,,,,,,,7.133,50,3,47,Deviation-Review,0.31
